# Family Xorddos
/bin/impkwzbvrk: 1
/usr/bin/dgwiycnetz: 1
/bin/wngwgneypc: 1
/usr/bin/brtjmtvoyz: 1
/bin/chshwlahus: 1
/bin/espesgvdlv: 1
/tmp/zaetycwxdn: 1
/etc/rc.d/rc5.d/S90hovvssksho: 1
/usr/bin/qdwwepieos: 1
/tmp/pkloafwerg: 1
/etc/rc5.d/S90hovvssksho: 1
/tmp/vwvtwzgkge: 1
/tmp/yfhtuvmpmi: 1
/usr/bin/xqmyacxkmc: 1
/tmp/jvdfawmgav: 1
/tmp/brtjmtvoyz: 1
/usr/bin/cjngzfnnor: 1
/tmp/yndpaltnop: 1
/usr/bin/impkwzbvrk: 1
/bin/foojxmxceh: 1
/usr/bin/ucbvfbgyis: 1
/bin/qhepksfqrs: 1
/bin/paotmgwldf: 1
/bin/vwvtwzgkge: 1
/usr/bin/ccgpdqdvii: 1
/usr/bin/iwbnrmpsje: 1
/tmp/espesgvdlv: 1
/tmp/wngwgneypc: 1
/bin/yndpaltnop: 1
/bin/ofifypeyyx: 1
/tmp/rxjrluxgfo: 1
/tmp/ucbvfbgyis: 1
/usr/bin/wahpbpzusu: 1
/bin/brtjmtvoyz: 1
/etc/rc4.d/S90hovvssksho: 1
/usr/bin/dzbdkvgonp: 1
/bin/rxjrluxgfo: 1
/bin/rlgsxgkiyh: 1
/bin/cjngzfnnor: 1
/usr/bin/yyszltcdwn: 1
/tmp/mwwoypzufz: 1
/bin/jvdfawmgav: 1
/bin/xoqomfuzla: 1
/usr/bin/uddkydains: 1
/bin/ncwboyjxfw: 1
/usr/bin/chshwlahus: 1
/bin/niwqolwsun: 1
/usr/bin/jvdfawmgav: 1
/tmp/omecyiwweb: 1
/usr/bin/pcsodzmaxl: 1
/tmp/rhagsndvfy: 1
/tmp/ycdeqwpdzo: 1
/tmp/wahpbpzusu: 1
/bin/zaetycwxdn: 1
/etc/init.d/hovvssksho: 1
/bin/pilgcuanld: 1
/bin/zpphtwmond: 1
/bin/kdtznvjzae: 1
/bin/npsurzypgw: 1
/usr/bin/zxwmwfofcj: 1
/usr/bin/omecyiwweb: 1
/usr/bin/icscqudtht: 1
/usr/bin/mwwoypzufz: 1
/bin/yyszltcdwn: 1
/tmp/chshwlahus: 1
/bin/kjtctkyegh: 1
/tmp/ncwboyjxfw: 1
/bin/yfhtuvmpmi: 1
/usr/bin/npsurzypgw: 1
/bin/omecyiwweb: 1
