EntityType,ActionType,Source,Syscall,EnVerb,Sentence
NET,NET_TRANSMIT,man,recv(),receive,
NET,NET_TRANSMIT,man,recvfrom(),receive,
NET,NET_TRANSMIT,man,recvmmsg(),receive,
NET,NET_TRANSMIT,man,recvmsg(),receive,
NET,NET_TRANSMIT,man,send(),send,
NET,NET_TRANSMIT,man,sendmmsg(),transmit,
NET,NET_TRANSMIT,man,sendmmsg(),send,
NET,NET_TRANSMIT,man,sendmsg(),send,
NET,NET_TRANSMIT,man,sendto(),send,
PROC,PROC_COMM,man,msgctl(),control,
PROC,PROC_COMM,man,msgrcv(),operate,
PROC,PROC_COMM,man,msgrcv(),send,
PROC,PROC_COMM,man,msgsnd(),operate,
PROC,PROC_COMM,man,msgsnd(),receive,
PROC,PROC_COMM,man,rt_sigqueueinfo(),queue,
PROC,PROC_COMM,man,rt_sigqueueinfo(),send,
PROC,PROC_COMM,man,rt_tgsigqueueinfo(),queue,
PROC,PROC_COMM,man,rt_tgsigqueueinfo(),send,
PROC,PROC_COMM,man,semctl(),control,
PROC,PROC_COMM,man,semop(),operate,
PROC,PROC_COMM,man,semop(),perform,
PROC,PROC_COMM,man,semtimedop(),operate,
PROC,PROC_COMM,man,semtimedop(),perform,
PROC,PROC_COMM,man,signal(),handle,
PROC,PROC_COMM,man,socketcall(),provide,
PROC,PROC_COMM,man,splice(),splice,
PROC,PROC_COMM,man,splice(),move,
PROC,PROC_COMM,man,vmsplice(),splice,
PROC,PROC_EXAM,man,rt_sigaction(),examine,
PROC,PROC_EXAM,man,rt_sigaction(),change,
PROC,PROC_EXAM,man,rt_sigpending(),examine,
PROC,PROC_EXAM,man,rt_sigprocmask(),examine,
PROC,PROC_EXAM,man,rt_sigprocmask(),fetch,
PROC,PROC_EXAM,man,rt_sigprocmask(),change,
PROC,PROC_EXAM,man,sigaction(),examine,
PROC,PROC_EXAM,man,sigaction(),change,
PROC,PROC_EXAM,man,sigpending(),examine,
PROC,PROC_EXAM,man,sigprocmask(),examine,
PROC,PROC_EXAM,man,sigprocmask(),fetch,
PROC,PROC_EXAM,man,sigprocmask(),change,
PROC,PROC_EXE,man,clone(),create,
PROC,PROC_EXE,man,execve(),execute,
PROC,PROC_EXE,man,execveat(),execute,
PROC,PROC_EXE,man,fork(),create,
PROC,PROC_EXE,man,nfsservctl(),provide,
PROC,PROC_EXE,man,personality(),set,
PROC,PROC_EXE,man,restart_syscall(),restart,
PROC,PROC_EXE,man,syscall(),invoke,
PROC,PROC_EXE,man,unshare(),disassociate,
PROC,PROC_EXE,man,vfork(),block,
PROC,PROC_EXE,man,vfork(),create,
PROC,PROC_EXE,man,vhangup(),arrange,
PROC,PROC_EXE,man,vhangup(),hangup,
PROC,PROC_GET,man,getrandom(),obtain,
PROC,PROC_GET,man,getrandom(),fill,
PROC,PROC_GET,man,query_module(),request,
PROC,PROC_GET,man,query_module(),query,
PROC,PROC_GET,man,rt_sigreturn(),return,
PROC,PROC_GET,man,sched_rr_get_interval(),get,
PROC,PROC_GET,man,sched_rr_get_interval(),write into,
PROC,PROC_GET,man,sigreturn(),return,
PROC,PROC_GET,man,timer_getoverrun(),get,
PROC,PROC_KILL,man,exit(),terminate,
PROC,PROC_KILL,man,exit_group(),exit,
PROC,PROC_KILL,man,kill(),send signal,
PROC,PROC_KILL,man,tgkill(),send,
PROC,PROC_KILL,man,tkill(),send,
PROC,PROC_LOAD,man,delete_module(),unload,
PROC,PROC_LOAD,man,delete_module(),remove,
PROC,PROC_LOAD,man,finit_module(),load,
PROC,PROC_LOAD,man,init_module(),load,
PROC,PROC_LOAD,man,uselib(),load,
PROC,PROC_OTHER,man,bdflush(),start,
PROC,PROC_OTHER,man,bdflush(),flush,
PROC,PROC_OTHER,man,bdflush(),tune,
PROC,PROC_OTHER,man,bpf(),perform,
PROC,PROC_OTHER,man,cacheflush(),flush,
PROC,PROC_OTHER,man,create_module(),create,
PROC,PROC_OTHER,man,kcmp(),compare,
