step,src_node,type,deg,edge,dst_node,type,deg,importance,tactic
485,1526,proc,17,read,/dev/urandom,file,2,0
486,1526,proc,17,open,/dev/urandom,file,2,1
487,1526,proc,17,read,/dev/urandom,file,2,0
488,1526,proc,17,open,/dev/urandom,file,2,1
489,1526,proc,17,read,/dev/urandom,file,2,0
490,1526,proc,17,open,/dev/urandom,file,2,1
491,1526,proc,17,read,/dev/urandom,file,2,0
492,1526,proc,17,open,/dev/urandom,file,2,1
493,1526,proc,17,read,/dev/urandom,file,2,0
494,1526,proc,17,open,/dev/urandom,file,2,1
495,1526,proc,17,read,/dev/urandom,file,2,0
496,1526,proc,17,open,/dev/urandom,file,2,1
497,1526,proc,17,read,/dev/urandom,file,2,0
498,1526,proc,17,open,/dev/urandom,file,2,1
499,1526,proc,17,read,/dev/urandom,file,2,0
500,1526,proc,17,open,/dev/urandom,file,2,1
501,1526,proc,17,read,/dev/urandom,file,2,0
502,1526,proc,17,open,/dev/urandom,file,2,1
503,1526,proc,17,read,/dev/urandom,file,2,0
504,1526,proc,17,open,/dev/urandom,file,2,1
505,1526,proc,17,read,/dev/urandom,file,2,0
506,1526,proc,17,open,/dev/urandom,file,2,1
507,1526,proc,17,read,/dev/urandom,file,2,0
508,1526,proc,17,open,/dev/urandom,file,2,1
509,1526,proc,17,read,/dev/urandom,file,2,0
510,1526,proc,17,open,/dev/urandom,file,2,1
511,1526,proc,17,read,/dev/urandom,file,2,0
512,1526,proc,17,open,/dev/urandom,file,2,1
513,1526,proc,17,read,/dev/urandom,file,2,0
514,1526,proc,17,open,/dev/urandom,file,2,1
515,1526,proc,17,read,/dev/urandom,file,2,0
516,1526,proc,17,open,/dev/urandom,file,2,1
517,1526,proc,17,read,/dev/urandom,file,2,0
518,1526,proc,17,open,/dev/urandom,file,2,1
519,1526,proc,17,read,/dev/urandom,file,2,0
520,1526,proc,17,open,/dev/urandom,file,2,1
521,1526,proc,17,read,/dev/urandom,file,2,0
522,1526,proc,17,open,/dev/urandom,file,2,1
523,1526,proc,17,read,/dev/urandom,file,2,0
524,1526,proc,17,open,/dev/urandom,file,2,1
525,1526,proc,17,read,/dev/urandom,file,2,0
526,1526,proc,17,open,/dev/urandom,file,2,1
527,1526,proc,17,read,/dev/urandom,file,2,0
528,1526,proc,17,open,/dev/urandom,file,2,1
529,1526,proc,17,read,/dev/urandom,file,2,0
530,1526,proc,17,open,/dev/urandom,file,2,1
531,1526,proc,17,read,/dev/urandom,file,2,0
532,1526,proc,17,open,/dev/urandom,file,2,1
533,1526,proc,17,read,/dev/urandom,file,2,0
534,1526,proc,17,open,/dev/urandom,file,2,1
535,1526,proc,17,read,/dev/urandom,file,2,0
536,1526,proc,17,open,/dev/urandom,file,2,1
537,1526,proc,17,read,/dev/urandom,file,2,0
538,1526,proc,17,open,/dev/urandom,file,2,1
539,1526,proc,17,read,/dev/urandom,file,2,0
540,1526,proc,17,open,/dev/urandom,file,2,1
541,1526,proc,17,read,/dev/urandom,file,2,0
542,1526,proc,17,open,/dev/urandom,file,2,1
543,1526,proc,17,read,/dev/urandom,file,2,0
544,1526,proc,17,open,/dev/urandom,file,2,1
545,1526,proc,17,read,/dev/urandom,file,2,0
546,1526,proc,17,open,/dev/urandom,file,2,1
547,1526,proc,17,read,/dev/urandom,file,2,0
548,1526,proc,17,open,/dev/urandom,file,2,1
549,1526,proc,17,read,/dev/urandom,file,2,0
550,1526,proc,17,open,/dev/urandom,file,2,1
551,1526,proc,17,read,/dev/urandom,file,2,0
552,1526,proc,17,open,/dev/urandom,file,2,1
553,1526,proc,17,read,/dev/urandom,file,2,0
554,1526,proc,17,open,/dev/urandom,file,2,1
555,1526,proc,17,read,/dev/urandom,file,2,0
556,1526,proc,17,open,/dev/urandom,file,2,1
557,1526,proc,17,read,/dev/urandom,file,2,0
558,1526,proc,17,open,/dev/urandom,file,2,1
559,1526,proc,17,read,/dev/urandom,file,2,0
560,1526,proc,17,open,/dev/urandom,file,2,1
561,1526,proc,17,read,/dev/urandom,file,2,0
562,1526,proc,17,open,/dev/urandom,file,2,1
563,1526,proc,17,read,/dev/urandom,file,2,0
564,1526,proc,17,open,/dev/urandom,file,2,1
565,1526,proc,17,read,/dev/urandom,file,2,0
566,1526,proc,17,open,/dev/urandom,file,2,1
567,1526,proc,17,read,/dev/urandom,file,2,0
568,1526,proc,17,open,/dev/urandom,file,2,1
569,1526,proc,17,read,/dev/urandom,file,2,0
570,1526,proc,17,open,/dev/urandom,file,2,1
571,1526,proc,17,read,/dev/urandom,file,2,0
572,1526,proc,17,open,/dev/urandom,file,2,1
573,1526,proc,17,read,/dev/urandom,file,2,0
574,1526,proc,17,open,/dev/urandom,file,2,1
575,1526,proc,17,read,/dev/urandom,file,2,0
576,1526,proc,17,open,/dev/urandom,file,2,1
577,1526,proc,17,read,/dev/urandom,file,2,0
578,1526,proc,17,open,/dev/urandom,file,2,1
579,1526,proc,17,read,/dev/urandom,file,2,0
580,1526,proc,17,open,/dev/urandom,file,2,1
581,1526,proc,17,read,/dev/urandom,file,2,0
582,1526,proc,17,open,/dev/urandom,file,2,1
